,Address,lat,lng
0,"Большой Кондратьевский переулок, дом 3",55.772573,37.58226
1,"улица Космонавта Волкова, дом 18а",55.815741,37.526232
2,"Скорняжный переулок, дом 3, строение 1",55.773256,37.642339
3,"улица Сущевская, 32",55.783848,37.602067
4,«метро Рижская»,55.792483,37.636123
6,"улица Арбат, 55/32",55.747383,37.585386
7,"улица Арбат, 15/43 (улица Новый Арбат, 15)",55.751107,37.596857
8,"Гоголевский бульвар, 33",55.750758,37.599849
9,"Страстной б-р, д. 8А",55.766258,37.610826
10,"Рождественка улица, 5/7, строение 1 (метро Кузнецкий Мост )",55.76168,37.623268
11,"Чистопрудный б-р, д. 10, стр. 1",55.762156,37.642357
12,"Чистопрудный б-р, д. 12, корп. 4",55.76134,37.64312
14,"Мясницкая ул., д. 35",55.766086,37.638135
15,"Никитский б-р, д. 10",55.75478,37.601124
16,"Богоявленский переулок, дом3, строение1 (точка № 95)",55.756067,37.624094
17,"ул. Большая Никитская, Никитский б-р",55.755474,37.59948
18,"Волхонка улица, 12 (по ГК ГМИИ имени Пушкина)",55.747388,37.604816
19,"Чистопрудный б-р, д. 12, корп. 2",55.760874,37.643498
20,"Никитская Малая ул., д. 4, стр. 3",55.758266,37.596803
21,"Фрунзенская наб., д. 2",55.734567,37.595716
23,"улица Большая Ордынка, 23, строение 3 (метро Третьяковская)",55.741379,37.625594
24,"Гоголевский б-р, д. 8/11",55.746213,37.601376
25,"ул. Мясницкая, д. 20",55.761345,37.632969
26,ст. м. Чистые Пруды,55.764794,37.638683
27,"Тишинская площадь, 8",55.770669,37.583571
28,"Бронная Большая улица, 14, строение 2",55.762373,37.600441
29,ст. м. Третьяковская,55.741323,37.62643
30,"ул. Малая Никитская, д. 24",55.759294,37.587497
31,"ул. Малая Никитская, д. 24",55.759294,37.587497
32,"улица Петровка, 11",55.762905,37.616575
33,"Тверская улица, 6, строение 2 (Тверская площадь)",55.761487,37.610772
34,"ул. Ильинка, д. 9, стр. 1",55.755409,37.626493
35,"ул. Малая Бронная, д. 42",55.765174,37.592105
36,ст. м. Чистые Пруды,55.764794,37.638683
37,"Столешников переулок, дом 7, строение 4",55.763579,37.61432
38,"Большая Никитская ул., д. 37, стр. 1",55.757116,37.593641
39,"Пятницкий пер., д. 10",55.742656,37.629664
40,"Триумфальная площадь, 1",55.769489,37.593533
41,"Никитский б-р, д. 25",55.756888,37.598106
42,"Бутырский Вал, улица, 8/3, строение 1",55.777844,37.585538
43,Фрунзенская наб.,55.723572,37.587874
44,"ул. Земляной Вал., д. 50А, стр. 2",55.750864,37.654727
45,"Тверская улица, 6, строение 7",55.759628,37.611985
47,"Тверская улица, 12, строение 1",55.763397,37.607889
48,"Никольская улица, 25",55.759091,37.624777
50,"Улица Петровка, дом 2",55.760798,37.619764
51,"Златоустинский Малый пер., д. 6, стр. 1",55.758732,37.634389
52,"Тверская улица дом 8, корпус 2",55.762622,37.611113
53,"Столешников переулок, дом 11",55.763315,37.615731
54,"Большая Грузинская улица, дом 1, строение 1",55.761173,37.578424
55,"Чистопрудный б-р, д. 12, корп. 4",55.76134,37.64312
56,"Лубянский пр-д, д. 27",55.754512,37.635422
57,"Рахмановский переулок, дом 4, строение 1",55.764698,37.618093
58,"Никитский переулок, 7, строение 1",55.757491,37.610116
59,"Каретный Ряд улица, 3, строение 15",55.770775,37.610646
